Ano,Mês,Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Total mensal
2010,8,43187,4149,77548,5018,271,2542,132715
2010,9,39324,10813,123409,4927,34,6989,185496
2010,10,10948,21834,28644,2386,33,3059,66904
2010,11,4072,9894,2501,305,5,517,17294
2010,12,1772,1197,886,98,25,1496,5474
2011,1,1449,32,82,53,11,163,1790
2011,2,880,14,100,87, ,4,1085
2011,3,97,13,173,98,7, ,388
2011,4,484,51,896,113,55,2,1601
2011,5,981,92,3356,639,136,13,5217
2011,6,1381,690,9115,1201,158,59,12604
2011,7,2022,558,15962,6759,253,262,25816
2011,8,6630,2451,32001,3973,144,695,45894
2011,9,13333,4003,61204,5186,44,2117,85887
2011,10,5109,9492,10714,1165,8,1003,27491
2011,11,2991,4894,820,226,11,1618,10560
2011,12,6523,2411,565,123,3,1114,10739
2012,1,2356,917,131,93,47,237,3781
2012,2,320,39,268,103,38,137,905
2012,3,335,274,742,363,44,157,1915
2012,4,368,782,1578,420,27,61,3236
2012,5,1221,1743,5963,1240,754,192,11113
2012,6,2561,1989,14039,1020,440,159,20208
2012,7,2461,2704,25380,1635,349,841,33370
2012,8,15854,3840,58899,2730,236,4433,85992
2012,9,18646,7040,84109,3536,13,4893,118237
2012,10,8323,17685,52533,3689,6,1734,83970
2012,11,11893,4495,2347,533,3,241,19512
2012,12,2510,5028,1461,281,6,181,9467
2013,1,3967,313,190,170,11,120,4771
2013,2,114,91,427,182,35,102,951
2013,3,652,185,387,287,69,200,1780
2013,4,295,240,612,187,21,62,1417
2013,5,1366,167,3938,745,61,98,6375
2013,6,2284,521,7257,599,42,59,10762
2013,7,1849,769,12697,2658,294,147,18414
2013,8,6267,1935,25972,2226,165,430,36995
2013,9,9103,6688,40526,2581,30,2878,61806
2013,10,4323,7512,16287,791,15,1133,30061
2013,11,3165,6701,1954,200,17,1005,13042
2013,12,2613,3272,754,134,14,341,7128
2014,1,2354,215,380,63,3,58,3073
2014,2,979,15,142,151,9,74,1370
2014,3,998,41,230,128,14,8,1419
2014,4,341,126,969,119,36,99,1690
2014,5,1092,209,3679,399,57,8,5444
2014,6,2176,757,10290,1208,31,72,14534
2014,7,2589,1356,19024,1518,355,109,24951
2014,8,15772,2165,44319,3263,217,268,66004
2014,9,11967,5923,47936,2854,6,521,69207
2014,10,9391,8193,39817,4386,13,775,62575
2014,11,8255,6105,3326,91, ,176,17953
2014,12,5395,2954,619,56, ,23,9047
2015,1,2137,706,721,260,4,112,3940
2015,2,1474,59,149,145,2,69,1898
2015,3,338,52,347,220,24,19,1000
2015,4,552,331,785,238,144,44,2094
2015,5,513,361,2352,427,614,54,4321
2015,6,1433,975,8154,1241,260,507,12570
2015,7,2581,1325,13884,500,111,279,18680
2015,8,15366,3623,31120,2476,148,1985,54718
2015,9,21618,9797,59355,2650,30,2478,95928
2015,10,16009,10872,54654,2733,12,1057,85337
2015,11,17602,12064,12162,1792, ,405,44025
2015,12,14038,7378,6816,831,1,862,29926
2016,1,6082,393,114,131,6,17,6743
2016,2,1005,34,572,127,19,37,1794
2016,3,2948,58,679,372,13,6,4076
2016,4,908,79,2746,974,8,41,4756
2016,5,1584,334,6205,858,61,103,9145
2016,6,2178,601,11257,2266,671,159,17132
2016,7,4513,1428,21514,7156,323,1056,35990
2016,8,15457,2583,40110,3170,328,2166,63814
2016,9,13414,3732,41613,2341,46,4656,65802
2016,10,7003,10305,18874,834,34,2594,39644
2016,11,7129,10512,6515,189,4,329,24678
2016,12,2901,3248,941,114,14,81,7299
2017,1,616,442,225,160,7,374,1824
2017,2,343,26,262,187,12,69,899
2017,3,128,103,574,110,5,87,1007
2017,4,308,81,1021,68,23,30,1531
2017,5,896,177,3727,194,90,114,5198
2017,6,1374,240,6619,804,283,171,9491
2017,7,4535,592,11177,4750,936,829,22819
2017,8,17628,1648,28321,3513,188,2162,53460
2017,9,34052,3146,65019,3800,15,4763,110795
2017,10,9589,12303,37656,2424,12,1036,63020
2017,11,12832,6556,2437,96,12,187,22120
2017,12,8914,4384,1310,84,19,7,14718
2018,1,2132,637,192,25,17,22,3025
2018,2,1260,14,34,49,21, ,1378
2018,3,1387,52,633,332,32,7,2443
2018,4,617,28,603,289,76,11,1624
2018,5,895,149,3354,1338,130,53,5919
2018,6,1605,613,7087,1932,93,86,11416
2018,7,3606,1309,10910,4111,85,318,20339
2018,8,6045,2700,19082,1674,125,669,30295
2018,9,12849,7616,33255,2146,4,1583,57453
2018,10,6533,5046,8632,1106,19,113,21449
2018,11,4889,5922,1155,83,5,3,12057
2018,12,1342,1342,437,132,8,229,3490
2019,1,2983,118,506,264,4,531,4406
2019,2,1598,23,316,288,15,538,2778
2019,3,5277,37,395,337,32,103,6181
2019,4,1911,16,815,130,55,126,3053
2019,5,809,250,3757,180,25,73,5094
2019,6,1763,357,8455,1579,184,342,12680
2019,7,4280,1516,12897,3315,712,846,23566
2019,8,24688,3736,35379,4270,262,3907,72242
2019,9,16320,6724,59594,4451,59,6483,93631
2019,10,5364,18494,18548,2517,21,5188,50132
2019,11,5454,15858,5087,1401,13,2317,30130
2019,12,1803,8389,1902,459,16,380,12949
2020,1,1578,434,214,478,19,436,3159
2020,2,2787,45,247,160,26,156,3421
2020,3,1658,8,697,237,200,1036,3836
2020,4,483,13,1182,557,1379,1174,4788
2020,5,731,16,2600,873,720,384,5324
2020,6,1983,79,7552,1895,344,1076,12929
2020,7,3515,525,11324,1683,151,3367,20565
2020,8,20664,1789,22729,3337,200,10179,58898
2020,9,27937,4816,54741,3393,11,14264,105162
2020,10,12028,13118,34188,2357,27,5707,67425
2020,11,2335,5350,2122,384,18,1554,11763
2020,12,722,4208,944,129,24,435,6462
2021,1,253,976,302,59,21,59,1670
2021,2,443,270,270,187,15,23,1208
2021,3,339,165,721,404,28,50,1707
2021,4,338,146,1096,422,137,111,2250
2021,5,1022,366,5968,1500,431,323,9610
2021,6,2583,1466,10068,1100,37,434,15688
2021,7,3349,1984,16047,4017,349,1095,26841
2021,8,21476,4534,38848,5469,142,3565,74034
2021,9,9607,13384,56410,6719,9,8208,94337
2021,10,5835,12722,12799,1272,15,4931,37574
2021,11,2158,12150,440,278,30,318,15374
2021,12,659,2714,373,129,33,325,4233
2022,1,2272,47,277,450,453,81,3580
2022,2,504,67,494,178,219,37,1499
2022,3,63,28,508,154,36,56,845
2022,4,407,67,1583,109,44,32,2242
2022,5,1695,322,6783,367,85,408,9660
2022,6,2677,799,11701,944,30,272,16423
2022,7,4091,1164,16452,2642,45,490,24884
2022,8,24083,2619,28398,2534,25,307,57966
2022,9,28458,7589,32473,1179,9,625,70333
2022,10,7610,17463,24218,733,9,52,50085
2022,11,4132,2928,1348,131,20,233,8792
2022,12,826,2368,620,35,114,435,4398
